timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1565703338422,6,MEAN.JS HTTP Request,200,OK,Thread Group 1-1,text,true,,10247,119,1,1,http://10.0.1.156:3000/,5,0,0
1565703338613,6,MEAN.JS HTTP Request,200,OK,Thread Group 1-2,text,true,,10245,119,2,2,http://10.0.1.156:3000/,6,0,1
1565703338813,7,MEAN.JS HTTP Request,200,OK,Thread Group 1-3,text,true,,10247,119,3,3,http://10.0.1.156:3000/,6,0,1
1565703338443,474,MAGENTO HTTP Request,200,OK,Thread Group 1-1,text,true,,26349,114,3,3,http://10.0.1.156/,474,0,0
1565703338918,0,MariaDBTCPSampler,200,OK,Thread Group 1-1,text,true,,130,0,3,3,null,0,0,0
1565703338918,43,MongoDBJSR223Sampler,200,OK,Thread Group 1-1,text,true,,0,0,3,3,null,0,0,0
1565703339013,18,MEAN.JS HTTP Request,200,OK,Thread Group 1-4,text,true,,10247,119,4,4,http://10.0.1.156:3000/,17,0,0
1565703339161,12,MEAN.JS HTTP Request,200,OK,Thread Group 1-1,text,true,,10249,119,4,4,http://10.0.1.156:3000/,7,0,1
1565703338629,586,MAGENTO HTTP Request,200,OK,Thread Group 1-2,text,true,,26349,114,5,5,http://10.0.1.156/,584,0,0
1565703339216,6,MariaDBTCPSampler,200,OK,Thread Group 1-2,text,true,,130,0,5,5,null,3,0,3
1565703339222,1,MongoDBJSR223Sampler,200,OK,Thread Group 1-2,text,true,,0,0,5,5,null,0,0,0
1565703339213,20,MEAN.JS HTTP Request,200,OK,Thread Group 1-5,text,true,,10249,119,5,5,http://10.0.1.156:3000/,19,0,6
1565703339413,12,MEAN.JS HTTP Request,200,OK,Thread Group 1-6,text,true,,10247,119,6,6,http://10.0.1.156:3000/,8,0,0
1565703339424,16,MEAN.JS HTTP Request,200,OK,Thread Group 1-2,text,true,,10249,119,6,6,http://10.0.1.156:3000/,15,0,1
1565703339612,12,MEAN.JS HTTP Request,200,OK,Thread Group 1-7,text,true,,10249,119,7,7,http://10.0.1.156:3000/,11,0,1
1565703339813,9,MEAN.JS HTTP Request,200,OK,Thread Group 1-8,text,true,,10245,119,8,8,http://10.0.1.156:3000/,8,0,1
1565703338829,1164,MAGENTO HTTP Request,200,OK,Thread Group 1-3,text,true,,26349,114,8,8,http://10.0.1.156/,1157,0,0
1565703339994,0,MariaDBTCPSampler,200,OK,Thread Group 1-3,text,true,,130,0,8,8,null,0,0,0
1565703339994,1,MongoDBJSR223Sampler,200,OK,Thread Group 1-3,text,true,,0,0,8,8,null,0,0,0
1565703340015,15,MEAN.JS HTTP Request,200,OK,Thread Group 1-9,text,true,,10247,119,9,9,http://10.0.1.156:3000/,10,0,1
1565703340195,10,MEAN.JS HTTP Request,200,OK,Thread Group 1-3,text,true,,10247,119,9,9,http://10.0.1.156:3000/,7,0,0
1565703340213,12,MEAN.JS HTTP Request,200,OK,Thread Group 1-10,text,true,,10247,119,10,10,http://10.0.1.156:3000/,9,0,0
1565703340421,12,MEAN.JS HTTP Request,200,OK,Thread Group 1-11,text,true,,10245,119,11,11,http://10.0.1.156:3000/,7,0,1
1565703339042,1585,MAGENTO HTTP Request,200,OK,Thread Group 1-4,text,true,,26349,114,12,12,http://10.0.1.156/,1583,0,1
1565703340627,4,MariaDBTCPSampler,200,OK,Thread Group 1-4,text,true,,130,0,12,12,null,4,0,3
1565703340631,1,MongoDBJSR223Sampler,200,OK,Thread Group 1-4,text,true,,0,0,12,12,null,0,0,0
1565703340613,13,MEAN.JS HTTP Request,200,OK,Thread Group 1-12,text,true,,10247,119,12,12,http://10.0.1.156:3000/,7,0,0
1565703340819,9,MEAN.JS HTTP Request,200,OK,Thread Group 1-13,text,true,,10247,119,13,13,http://10.0.1.156:3000/,6,0,1
1565703340832,13,MEAN.JS HTTP Request,200,OK,Thread Group 1-4,text,true,,10245,119,13,13,http://10.0.1.156:3000/,8,0,1
1565703341019,10,MEAN.JS HTTP Request,200,OK,Thread Group 1-14,text,true,,10245,119,14,14,http://10.0.1.156:3000/,8,0,1
1565703339189,1969,MAGENTO HTTP Request,200,OK,Thread Group 1-1,text,true,,26349,114,14,14,http://10.0.1.156/,1968,0,1
1565703341158,0,MariaDBTCPSampler,200,OK,Thread Group 1-1,text,true,,130,0,14,14,null,0,0,0
1565703341159,1,MongoDBJSR223Sampler,200,OK,Thread Group 1-1,text,true,,0,0,14,14,null,0,0,0
1565703341213,12,MEAN.JS HTTP Request,200,OK,Thread Group 1-15,text,true,,10247,119,15,15,http://10.0.1.156:3000/,8,0,0
1565703341360,9,MEAN.JS HTTP Request,200,OK,Thread Group 1-1,text,true,,10245,119,15,15,http://10.0.1.156:3000/,8,0,2
1565703339251,2160,MAGENTO HTTP Request,200,OK,Thread Group 1-5,text,true,,26349,114,15,15,http://10.0.1.156/,2159,0,1
1565703341411,1,MariaDBTCPSampler,200,OK,Thread Group 1-5,text,true,,130,0,15,15,null,1,0,1
1565703341412,2,MongoDBJSR223Sampler,200,OK,Thread Group 1-5,text,true,,0,0,16,16,null,0,0,0
1565703341413,11,MEAN.JS HTTP Request,200,OK,Thread Group 1-16,text,true,,10245,119,16,16,http://10.0.1.156:3000/,11,0,0
1565703341611,7,MEAN.JS HTTP Request,200,OK,Thread Group 1-17,text,true,,10247,119,17,17,http://10.0.1.156:3000/,6,0,1
1565703341614,19,MEAN.JS HTTP Request,200,OK,Thread Group 1-5,text,true,,10253,119,17,17,http://10.0.1.156:3000/,17,0,0
1565703341812,13,MEAN.JS HTTP Request,200,OK,Thread Group 1-18,text,true,,10249,119,18,18,http://10.0.1.156:3000/,8,0,1
1565703342013,8,MEAN.JS HTTP Request,200,OK,Thread Group 1-19,text,true,,10245,119,19,19,http://10.0.1.156:3000/,6,0,0
1565703342213,8,MEAN.JS HTTP Request,200,OK,Thread Group 1-20,text,true,,10251,119,20,20,http://10.0.1.156:3000/,7,0,1
1565703339633,2648,MAGENTO HTTP Request,200,OK,Thread Group 1-7,text,true,,26349,114,20,20,http://10.0.1.156/,2630,0,0
